sector_a,sector_b,spearman,kendall,upper_tail_90,lower_tail_10
Basic Materials,Capital Goods,0.27320108711873287,0.18481712157197727,0.22435897435897434,0.22435897435897434
Basic Materials,Consumer,0.1499321337403786,0.10273859684352221,0.09615384615384616,0.1282051282051282
Basic Materials,Energy,0.33243418428522337,0.22672590783553057,0.28846153846153844,0.16025641025641024
Basic Materials,Finance,0.3104891568206763,0.21122187194462225,0.35256410256410253,0.19230769230769232
Basic Materials,Healthcare,0.02221908103268902,0.014127644174502643,0.19230769230769232,0.0641025641025641
Basic Materials,Technology,0.1886034819900713,0.12661725153675207,0.16025641025641024,0.16025641025641024
Basic Materials,Utilities,0.026151281249401147,0.019031124041308637,0.09615384615384616,0.19230769230769232
Capital Goods,Consumer,0.14092464189065787,0.09538931248654753,0.16025641025641024,0.1282051282051282
Capital Goods,Energy,0.22539984080848458,0.15513064997367076,0.28846153846153844,0.35256410256410253
Capital Goods,Finance,0.29655895949813094,0.20052569199918877,0.3205128205128205,0.22435897435897434
Capital Goods,Healthcare,0.10742210323898299,0.07129231863172594,0.16025641025641024,0.1282051282051282
Capital Goods,Technology,0.210649248432716,0.14334752452503915,0.1282051282051282,0.22435897435897434
Capital Goods,Utilities,-0.014839718749442829,-0.009628171175695095,0.16025641025641024,0.1282051282051282
Consumer,Energy,0.14724170722539628,0.09767514063977224,0.1282051282051282,0.1282051282051282
Consumer,Finance,0.315054785862926,0.21310377422673552,0.2564102564102564,0.19230769230769232
Consumer,Healthcare,0.16343392564575085,0.10901290279617507,0.19230769230769232,0.03205128205128205
Consumer,Technology,0.1458285199070501,0.09726876393113457,0.19230769230769232,0.09615384615384616
Consumer,Utilities,0.03575382915204866,0.02319898570849337,0.22435897435897434,0.09615384615384616
Energy,Finance,0.4266719032460327,0.29417221546517136,0.4487179487179487,0.2564102564102564
Energy,Healthcare,0.09956148838550014,0.06479419683821004,0.22435897435897434,0.1282051282051282
Energy,Technology,0.2060279061461854,0.13853956238099607,0.19230769230769232,0.16025641025641024
Energy,Utilities,0.1454984696226078,0.09817544616415254,0.19230769230769232,0.1282051282051282
Finance,Healthcare,0.2058206390290119,0.13676483559230077,0.19230769230769232,0.09615384615384616
Finance,Technology,0.2574309436116283,0.17375170115283256,0.19230769230769232,0.16025641025641024
Finance,Utilities,0.12123518752393278,0.08085764381684296,0.2564102564102564,0.09615384615384616
Healthcare,Technology,0.21207722230284942,0.14320774380651025,0.16025641025641024,0.22435897435897434
Healthcare,Utilities,0.046281092475925385,0.03006929657650843,0.1282051282051282,0.19230769230769232
Technology,Utilities,0.17561733748625838,0.11640757084656363,0.19230769230769232,0.19230769230769232
